Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,Concordo,Não concordo nem discordo,Discordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Bom,Não sei,Boas
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo,Discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Não sei responder
Discente do Superior,Machado,8°,Bacharelado Agronomia,Concordo,Concordo,Concordo,Regular,Regular,Regulares,Bom,Bom,Bom,Boas
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Ruim,Bons/Boas,Regular,Regular,Regular,Regulares
Discente do Técnico,Machado,1°,Técnico em Informática | Integrado,Discordo,Discordo,Não concordo nem discordo,Ruim,Regular,Bons/Boas,Regular,Regular,Regular,Regulares
Discente do Superior,Machado,10°,Bacharelado Agronomia,Concordo,Discordo,Não concordo nem discordo,Bom/Boa,Ruim,Regulares,Regular,Muito bom,Ruim,Boas
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Muito ruins
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Não concordo nem discordo,Discordo,Regular,Regular,Muito Bons/Boas,Bom,Regular,Bom,Regulares
Docente,Poços de Caldas,,,"Não concordo, nem discordo",Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Regulares,Regular,Bom,Regular,Boas
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Concordo plenamente,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Não sei,Não sei,Regulares
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo plenamente,Concordo plenamente,Discordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Ruins
Discente do Superior,Machado,10°,Bacharelado Agronomia,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Bom,Regular,Regular,Regulares
Discente do Superior,Machado,9°,Bacharelado Agronomia,Discordo plenamente,Discordo plenamente,Discordo plenamente,Regular,Ruim,Regulares,Muito ruim,Não sei,Não sei,Muito ruins
Discente do Superior,Machado,10°,Bacharelado Agronomia,Discordo,Concordo,Discordo,Regular,Ruim,Regulares,Regular,Regular,Regular,Regulares
Discente do Técnico,Poços de Caldas,2°  ,Técnico em Desenvolvimento de Sistemas - EaD | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Discordo,Não concordo nem discordo,Regular,Ruim,Regulares,Regular,Regular,Regular,Ruins
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Concordo,Discordo,Bom/Boa,Ruim,Bons/Boas,Bom,Não sei,Regular,Regulares
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Poços de Caldas,3°,Licenciatura Letras- Português- EaD,Discordo,Concordo,Prefiro não responder,Não se aplica,Não se aplica,Não se aplica,Bom,Não sei,Não sei,Não sei responder
Discente do Superior,Machado,5°,Bacharelado Agronomia,Concordo,Não concordo nem discordo,Discordo,Bom/Boa,Regular,Bons/Boas,Muito bom,Bom,Regular,Regulares
