Perfil,Unidade,Serie,Curso,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. Os serviços prestados na cantina são adequados?,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Docente,Muzambinho,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Machado,3°,Técnico em Informática | Integrado,Não sei responder,Concordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Muito ruins,Bom,Muito bom,Muito bom,Boas
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,Concordo,Concordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Regular,Regular,Regular,Regulares
TAE,Machado,,,Concordo plenamente,Concordo,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Poços de Caldas,4°,"Mestrado Profissional em Educação, Profissional e Tecnológica (ProfEPT)","Não concordo, nem discordo",Não sei responder,Não sei responder,Bom/Boa,Não sei responder,Bons/Boas,Bom,Regular,Não sei,Regulares
Discente do Superior,Inconfidentes,6°,Engenharia Agronômica,"Não concordo, nem discordo",Discordo,Discordo,Ruim,Regular,Regulares,Ruim,Muito ruim,Regular,Regulares
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Não sei responder,Não sei,Não sei,Não sei,Boas
Discente do Superior,Machado,4°,Bacharelado Administração,Concordo,Discordo,Concordo plenamente,Muito Bom/Boa,Boa,Muito Bons/Boas,Ruim,Muito bom,Muito bom,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Regular,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo plenamente,Concordo,Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Bom,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo,Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Bom,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo plenamente,Discordo plenamente,Bom/Boa,Boa,Regulares,Regular,Bom,Muito ruim,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Regular,Bom,Regular,Regulares
Discente do Técnico,Carmo de Minas,1°,Técnico em Alimentos | Integrado,Discordo,Discordo,Discordo,Muito Bom/Boa,Boa,Regulares,Ruim,Regular,Regular,Regulares
Discente do Técnico,Carmo de Minas,1°,Técnico em Alimentos | Integrado,Discordo,Concordo,Discordo,Bom/Boa,Boa,Muito Bons/Boas,Regular,Regular,Bom,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Discordo,Concordo,Não sei responder,Muito Bom/Boa,Muito boa,Bons/Boas,Regular,Muito bom,Muito bom,Regulares
TAE,Reitoria,,,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Técnico,Carmo de Minas,1°,Técnico em Alimentos | Integrado,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Bom,Bom,Não sei,Regulares
Discente do Técnico,Carmo de Minas,1°,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Bons/Boas,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Discordo,Concordo,Não concordo nem discordo,Regular,Ruim,Ruins,Ruim,Prefiro não responder,Regular,Regulares
Docente,Passos,,,Concordo plenamente,Concordo,Concordo,Bom/Boa,Ruim,Muito Bons/Boas,Bom,Muito bom,Regular,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Discordo,Concordo,Discordo,Regular,Ruim,Ruins,Ruim,Não sei,Regular,Ruins
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Discordo,Concordo plenamente,Ruim,Ruim,Regulares,Muito bom,Regular,Não sei,Regulares
TAE,Passos,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Regulares,Muito bom,Muito bom,Muito bom,Muito ruins
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Não sei responder,Não sei responder,Bom/Boa,Boa,Ruins,Não sei,Não sei,Não sei,Não sei responder
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Discordo,Concordo plenamente,Concordo,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Bom,Muito bom,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Discordo,Discordo plenamente,Discordo plenamente,Muito Bom/Boa,Boa,Regulares,Ruim,Prefiro não responder,Ruim,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Bom/Boa,Muito boa,Bons/Boas,Regular,Regular,Bom,Boas
Discente do Técnico,Machado,3°,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo,Não concordo nem discordo,Bom/Boa,Regular,Bons/Boas,Bom,Prefiro não responder,Bom,Regulares
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo plenamente,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Ruins,Muito bom,Muito bom,Muito bom,Regulares
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo,Discordo,Discordo,Bom/Boa,Regular,Ruins,Regular,Regular,Bom,Regulares
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Regular,Regulares,Regular,Ruim,Ruim,Regulares
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Não sei responder,Discordo,Discordo,Muito Bom/Boa,Muito boa,Muito ruins,Muito ruim,Muito ruim,Muito bom,Muito ruins
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo plenamente,Discordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo plenamente,Concordo,Não concordo nem discordo,Bom/Boa,Muito boa,Bons/Boas,Bom,Bom,Bom,Ruins
Docente,Pouso Alegre,,,Concordo,Não concordo nem discordo,Discordo,Regular,Regular,Prefiro não responder,Regular,Não sei,Não sei,Ruins
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo plenamente,Concordo,Concordo,Regular,Muito boa,Ruins,Muito bom,Muito bom,Bom,Ruins
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo,Discordo,Discordo,Muito Bom/Boa,Ruim,Bons/Boas,Muito bom,Muito bom,Muito bom,Não sei responder
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Discordo plenamente,Concordo,Não concordo nem discordo,Bom/Boa,Boa,Ruins,Bom,Não sei,Regular,Ruins
Discente do Superior,Muzambinho,1°,Tecnologia em Cafeicultura,Concordo,Discordo,Discordo,Bom/Boa,Boa,Bons/Boas,Bom,Regular,Regular,Boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo,Não concordo nem discordo,Concordo,Regular,Regular,Bons/Boas,Regular,Bom,Ruim,Boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,Discordo,Discordo,Discordo,Regular,Regular,Bons/Boas,Regular,Bom,Regular,Regulares
Discente do Técnico,Machado,3°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Regulares
Docente,Machado,,,Concordo,Concordo,Discordo,Ruim,Muito boa,Ruins,Bom,Bom,Bom,Boas
Discente do Técnico,Machado,3°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo,Concordo,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Docente,Machado,,,Concordo,Concordo,Discordo plenamente,Regular,Não sei responder,Muito Bons/Boas,Bom,Bom,Regular,Boas
Discente do Superior,Machado,8°,Licenciatura Ciências Biológicas,Concordo,Não concordo nem discordo,Não concordo nem discordo,Bom/Boa,Boa,Regulares,Muito bom,Não sei,Ruim,Não sei responder
Docente,Muzambinho,,,Concordo,Discordo plenamente,Discordo plenamente,Muito Bom/Boa,Regular,Ruins,Ruim,Regular,Bom,Regulares
Docente,Poços de Caldas,,,Concordo plenamente,Concordo,Não concordo nem discordo,Muito Bom/Boa,Não sei responder,Muito Bons/Boas,Ruim,Bom,Regular,Boas
Discente do Superior,Machado,6°,Bacharelado Administração,Concordo,Concordo,Concordo,Muito Bom/Boa,Não sei responder,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
TAE,Machado,,,Concordo,Discordo,Concordo plenamente,Regular,Boa,Regulares,Regular,Ruim,Ruim,Boas
Discente do Superior,Machado,2°,Licenciatura Ciências Biológicas,Discordo plenamente,Concordo,Discordo,Regular,Muito ruim,Regulares,Regular,Não sei,Não sei,Ruins
Discente do Superior,Machado,2°,Licenciatura Ciências Biológicas,Discordo plenamente,Concordo,Discordo,Regular,Muito ruim,Regulares,Regular,Não sei,Não sei,Ruins
TAE,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Não se aplica,Bons/Boas,Não sei,Não sei,Bom,Não sei responder
TAE,Machado,,,Concordo plenamente,Não concordo nem discordo,Não concordo nem discordo,Regular,Não sei responder,Regulares,Regular,Regular,Ruim,Regulares
Discente do Superior,Muzambinho,4°,Educação Física - ABI,Concordo,Discordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Bons/Boas,Muito bom,Não sei,Bom,Regulares
Discente do Técnico,Machado,1°  ,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Discordo plenamente,Discordo plenamente,Ruim,Regular,Regulares,Muito ruim,Ruim,Muito ruim,Ruins
Discente do Superior,Poços de Caldas,2°,"Mestrado Profissional em Educação, Profissional e Tecnológica (ProfEPT)",Não sei responder,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Não se aplica,Bons/Boas,Não sei,Não sei,Não sei,Não sei responder
Docente,Passos,,,Concordo plenamente,Concordo,Discordo,Bom/Boa,Boa,Bons/Boas,Regular,Bom,Regular,Não sei responder
TAE,Machado,,,Concordo,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Poços de Caldas,3°,Licenciatura Letras- Português- EaD,"Não concordo, nem discordo",Concordo plenamente,Não concordo nem discordo,Não sei responder,Não sei responder,Não sei responder,Não sei,Não sei,Não sei,Boas
Discente do Superior,Inconfidentes,10°,Engenharia Agronômica,Concordo,Discordo plenamente,Discordo,Regular,Regular,Regulares,Bom,Bom,Ruim,Regulares
Docente,Inconfidentes,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Discente do Superior,Machado,9°,Bacharelado Agronomia,Concordo,Concordo,Não concordo nem discordo,Regular,Muito boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,8°,Bacharelado Engenharia Agronômica,Concordo,Concordo,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Regular,Não sei,Bom,Regulares
Docente,Machado,,,Concordo plenamente,Discordo,Discordo,Bom/Boa,Regular,Regulares,Regular,Não sei,Bom,Boas
TAE,Machado,,,Concordo,Não sei responder,Concordo,Não sei responder,Não sei responder,Bons/Boas,Bom,Bom,Bom,Não sei responder
TAE,Machado,,,Concordo,Não concordo nem discordo,Concordo,Não sei responder,Não sei responder,Bons/Boas,Bom,Bom,Bom,Não sei responder
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Informática - Presencial | Integrado,Não sei responder,Concordo,Não sei responder,Bom/Boa,Boa,Muito Bons/Boas,Bom,Regular,Bom,Regulares
Discente do Técnico,Três Corações,1°  ,Técnico em Informática | Integrado,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Muito boa,Muito Bons/Boas,Regular,Bom,Muito bom,Regulares
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,Concordo plenamente,Concordo plenamente,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Boas
Docente,Muzambinho,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,Concordo,Concordo,Concordo,Bom/Boa,Boa,Regulares,Bom,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,"Não concordo, nem discordo",Concordo,Concordo,Muito Bom/Boa,Muito boa,Bons/Boas,Prefiro não responder,Prefiro não responder,Prefiro não responder,Boas
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,Concordo,Discordo,Discordo,Bom/Boa,Boa,Bons/Boas,Muito bom,Bom,Bom,Boas
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,Concordo,Concordo,Concordo,Ruim,Regular,Bons/Boas,Regular,Regular,Ruim,Regulares
Discente do Superior,Muzambinho,6°,Bacharelado Engenharia Agronômica,"Não concordo, nem discordo",Concordo plenamente,Não concordo nem discordo,Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Não sei responder
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,"Não concordo, nem discordo",Discordo,Discordo,Bom/Boa,Regular,Bons/Boas,Bom,Regular,Muito bom,Boas
Discente do Superior,Muzambinho,6°,Bacharelado Engenharia Agronômica,Discordo plenamente,Discordo,Discordo,Muito Bom/Boa,Regular,Bons/Boas,Regular,Ruim,Bom,Muito ruins
Discente do Superior,Muzambinho,4°,Bacharelado Ciência da Computação,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Regular,Regulares
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Não sei,Boas
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,Concordo plenamente,Concordo,Concordo,Bom/Boa,Regular,Ruins,Regular,Bom,Bom,Regulares
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,Concordo,Não concordo nem discordo,Concordo,Bom/Boa,Boa,Bons/Boas,Regular,Bom,Regular,Regulares
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,Discordo,Discordo,Discordo,Bom/Boa,Regular,Ruins,Bom,Prefiro não responder,Bom,Regulares
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Boa,Bons/Boas,Prefiro não responder,Prefiro não responder,Prefiro não responder,Regulares
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Bons/Boas,Não sei,Não sei,Não sei,Boas
Discente do Superior,Muzambinho,6°,Bacharelado Engenharia Agronômica,Concordo,Concordo plenamente,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Não sei responder,Muito bom,Muito bom,Muito bom,Muito boas
Docente,Muzambinho,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Bom/Boa,Muito boa,Ruins,Muito bom,Muito bom,Bom,Boas
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,"Não concordo, nem discordo",Discordo,Discordo,Bom/Boa,Muito boa,Não sei responder,Bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Discordo,Discordo,Discordo,Bom/Boa,Muito boa,Não sei responder,Bom,Bom,Bom,Boas
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,"Não concordo, nem discordo",Discordo plenamente,Discordo plenamente,Muito Bom/Boa,Boa,Muito Bons/Boas,Bom,Regular,Bom,Ruins
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Concordo,Concordo,Muito Bom/Boa,Muito boa,Não sei responder,Bom,Não sei,Não sei,Regulares
Discente do Superior,Muzambinho,6°,Bacharelado Engenharia Agronômica,"Não concordo, nem discordo",Concordo,Concordo,Muito Bom/Boa,Muito boa,Bons/Boas,Muito bom,Bom,Regular,Regulares
Discente do Superior,Muzambinho,6°,Bacharelado Engenharia Agronômica,Concordo,Concordo,Concordo,Muito Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Poços de Caldas,3°,Técnico em Administração | Subsequente,Concordo plenamente,Discordo,Concordo,Muito Bom/Boa,Muito boa,Bons/Boas,Bom,Não sei,Bom,Muito boas
Discente do Superior,Muzambinho,6°,Bacharelado Engenharia Agronômica,Discordo,Discordo,Não concordo nem discordo,Regular,Ruim,Bons/Boas,Regular,Muito bom,Bom,Regulares
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Não sei,Regular,Boas
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,"Não concordo, nem discordo",Concordo,Concordo,Bom/Boa,Regular,Muito Bons/Boas,Muito bom,Não sei,Muito bom,Boas
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo plenamente,Não concordo nem discordo,Não sei responder,Bom/Boa,Não se aplica,Não se aplica,Regular,Não sei,Bom,Muito boas
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Concordo,Concordo,Bom/Boa,Boa,Não sei responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Regulares
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Não sei responder,Não sei responder,Bom/Boa,Boa,Não sei responder,Não sei,Não sei,Não sei,Regulares
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,"Não concordo, nem discordo",Não concordo nem discordo,Discordo,Bom/Boa,Boa,Bons/Boas,Ruim,Bom,Regular,Muito ruins
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Regulares,Bom,Não sei,Bom,Boas
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Ruim,Bons/Boas,Regular,Regular,Bom,Ruins
Docente,Machado,,,Concordo,Concordo,Concordo,Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Bom,Boas
Docente,Machado,,,Concordo,Discordo,Discordo,Regular,Regular,Regulares,Muito bom,Bom,Bom,Boas
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo plenamente,Não concordo nem discordo,Regular,Boa,Bons/Boas,Não sei,Bom,Não sei,Não sei responder
Discente do Superior,Machado,2°,Bacharelado Zootecnia,Concordo plenamente,Concordo,Não concordo nem discordo,Bom/Boa,Regular,Regulares,Regular,Não sei,Bom,Regulares
Discente do Superior,Poços de Caldas,2°,Tecnologia em Gestão Ambiental,Prefiro não responder,Discordo,Não concordo nem discordo,Regular,Boa,Ruins,Não sei,Não sei,Não sei,Regulares
Discente do Superior,Passos,1°,Pós-graduação Mídias em Educação,Discordo,Não concordo nem discordo,Discordo,Não se aplica,Não se aplica,Não se aplica,Não sei,Não sei,Não sei,Regulares
TAE,Inconfidentes,,,Concordo plenamente,Concordo,Concordo,Não sei responder,Não sei responder,Muito Bons/Boas,Não sei,Muito bom,Não sei,Boas
TAE,Inconfidentes,,,Concordo,Concordo plenamente,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Bom,Bom,Bom,Boas
Discente do Técnico,Machado,1°  ,Técnico em Agropecuária | Integrado,Discordo,Discordo,Não concordo nem discordo,Regular,Regular,Muito Bons/Boas,Regular,Regular,Regular,Boas
Discente do Superior,Machado,2°,Bacharelado Administração,"Não concordo, nem discordo",Concordo,Discordo,Ruim,Regular,Bons/Boas,Regular,Não sei,Não sei,Não sei responder
Discente do Técnico,Machado,1°  ,Técnico em Agropecuária | Integrado,Concordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Não sei,Bom,Muito boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo plenamente,Concordo plenamente,Concordo plenamente,Muito Bom/Boa,Boa,Bons/Boas,Muito bom,Muito bom,Muito bom,Muito boas
Discente do Técnico,Machado,1°  ,Técnico em Agropecuária | Integrado,Concordo,Discordo,Discordo plenamente,Regular,Ruim,Muito Bons/Boas,Não sei,Não sei,Bom,Muito boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo plenamente,Concordo plenamente,Concordo plenamente,Ruim,Muito ruim,Muito ruins,Ruim,Ruim,Muito ruim,Muito ruins
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo,Concordo,Não concordo nem discordo,Muito Bom/Boa,Regular,Muito Bons/Boas,Regular,Regular,Regular,Ruins
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo,Concordo plenamente,Não concordo nem discordo,Muito Bom/Boa,Muito boa,Muito Bons/Boas,Muito bom,Bom,Muito ruim,Regulares
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo plenamente,Concordo,Concordo,Muito Bom/Boa,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo plenamente,Concordo plenamente,Concordo plenamente,Regular,Regular,Ruins,Ruim,Regular,Regular,Ruins
Discente do Superior,Machado,6°,Bacharelado Agronomia,Discordo,Concordo,Concordo,Regular,Regular,Regulares,Bom,Regular,Ruim,Não sei responder
Discente do Superior,Machado,6°,Bacharelado Agronomia,Não sei responder,Concordo,Não sei responder,Ruim,Boa,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,Não sei responder,Concordo,Concordo,Regular,Regular,Bons/Boas,Bom,Bom,Muito ruim,Ruins
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo,Concordo,Discordo,Regular,Ruim,Bons/Boas,Regular,Não sei,Não sei,Não sei responder
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo plenamente,Não concordo nem discordo,Discordo,Bom/Boa,Regular,Bons/Boas,Bom,Bom,Bom,Boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,"Não concordo, nem discordo",Discordo,Discordo,Ruim,Regular,Regulares,Regular,Ruim,Regular,Regulares
Discente do Superior,Machado,6°,Bacharelado Agronomia,Discordo,Discordo plenamente,Concordo plenamente,Bom/Boa,Boa,Muito Bons/Boas,Muito bom,Muito bom,Ruim,Regulares
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo plenamente,Discordo,Discordo,Muito Bom/Boa,Muito boa,Ruins,Muito bom,Muito bom,Muito ruim,Muito ruins
Discente do Superior,Machado,6°,Bacharelado Agronomia,Discordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Regular,Regular,Muito ruim,Regulares
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo,Discordo,Não concordo nem discordo,Muito ruim,Ruim,Bons/Boas,Ruim,Não sei,Ruim,Ruins
Discente do Superior,Machado,6°,Bacharelado Agronomia,Discordo,Concordo,Concordo,Ruim,Boa,Bons/Boas,Bom,Regular,Regular,Regulares
Discente do Superior,Machado,6°,Bacharelado Agronomia,Concordo,Discordo,Discordo,Regular,Regular,Bons/Boas,Regular,Não sei,Não sei,Regulares
Discente do Superior,Poços de Caldas,2°,Bacharelado Engenharia de Computação,"Não concordo, nem discordo",Discordo,Concordo,Bom/Boa,Regular,Bons/Boas,Bom,Não sei,Muito ruim,Boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,Não sei responder,Concordo plenamente,Não concordo nem discordo,Regular,Muito ruim,Muito Bons/Boas,Não sei,Não sei,Muito ruim,Ruins
Discente do Superior,Machado,6°,Bacharelado Agronomia,Discordo plenamente,Discordo,Discordo plenamente,Bom/Boa,Regular,Regulares,Muito bom,Ruim,Muito ruim,Regulares
Discente do Superior,Machado,6°,Bacharelado Agronomia,Discordo plenamente,Concordo,Discordo plenamente,Bom/Boa,Muito ruim,Bons/Boas,Regular,Regular,Muito ruim,Muito ruins
Discente do Técnico,Machado,1°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Regular,Ruim,Muito ruim,Muito ruins
Discente do Técnico,Muzambinho,2°  ,Técnico em Agropecuária | Integrado,Concordo,Não concordo nem discordo,Não concordo nem discordo,Regular,Regular,Regulares,Bom,Regular,Bom,Boas
Discente do Superior,Machado,6°,Bacharelado Agronomia,Prefiro não responder,Concordo,Concordo,Ruim,Regular,Muito Bons/Boas,Muito bom,Muito bom,Muito bom,Regulares
Discente do Superior,Machado,2°,Bacharelado Agronomia,"Não concordo, nem discordo",Discordo,Não concordo nem discordo,Regular,Regular,Bons/Boas,Regular,Ruim,Ruim,Muito ruins
TAE,Machado,,,Concordo plenamente,Discordo plenamente,Não concordo nem discordo,Ruim,Muito ruim,Regulares,Regular,Regular,Regular,Regulares
Docente,Machado,,,"Não concordo, nem discordo",Não concordo nem discordo,Concordo,Regular,Prefiro não responder,Muito Bons/Boas,Prefiro não responder,Prefiro não responder,Prefiro não responder,Boas
Discente do Técnico,Machado,1°  ,Técnico em Agropecuária | Integrado,"Não concordo, nem discordo",Não concordo nem discordo,Discordo,Bom/Boa,Boa,Bons/Boas,Regular,Regular,Bom,Boas
Discente do Superior,Poços de Caldas,4°,Bacharelado Administração,Concordo plenamente,Concordo plenamente,Concordo,Muito Bom/Boa,Boa,Muito Bons/Boas,Bom,Não sei,Regular,Boas
TAE,Poços de Caldas,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Ruim,Boa,Bons/Boas,Bom,Muito bom,Bom,Boas
