Curso
Bacharelado Agronomia
Bacharelado Ciência da Computação
Bacharelado Ciência e Tecnologia de Alimentos
Bacharelado Educação Física
Bacharelado Engenharia Agronômica
Bacharelado Engenharia Civil
Bacharelado Engenharia Química
Bacharelado Engenharia de Computação
Bacharelado Medicina Veterinária
Bacharelado Sistemas de Informação
Bacharelado Zootecnia
Bacharelado em Administração
Educação Física - ABI
Enfermagem | Subsequente
Engenharia Agronômica
Engenharia Ambiental
Engenharia de Agrimensura e Cartográfica
Engenharia de Alimentos
"Especialização Lato Sensu em Higiene, Ciência e Tecnologia de Alimentos"
Licenciatura Ciências Biológicas
Licenciatura Educação Física
Licenciatura Geografia
Licenciatura Letras- Português- EaD
Licenciatura Matemática
Licenciatura Pedagogia EaD
Licenciatura Química
Licenciatura em Ciências Biológicas
Licenciatura em Educação do Campo - Área Ciências Agrárias
Licenciatura em História
Licenciatura em Matemática
Licenciatura em Pedagogia
Licenciatura em Pedagogia - UAB
Mestrado Ciência e Tecnologia de Alimentos
"Mestrado Profissional em Educação, Profissional e Tecnológica (ProfEPT)"
Pós Graduação Educação Inclusiva
Pós-graduação Energia Solar Fotovoltaica
Pós-graduação Informática na Educação
Pós-graduação Mídias em Educação
Segurança do Trabalho | Subsequente
Suporte e Manutenção de Computadores - EaD | Subsequente
Tecnologia Design de Moda
Tecnologia Produção Publicitária
Tecnologia em Cafeicultura
Tecnologia em Gestão Ambiental
Tecnologia em Redes de Computadores
Técnico em Administração | Integrado
Técnico em Administração | Subsequente
Técnico em Agropecuária | Integrado
Técnico em Agropecuária | Subsequente
Técnico em Alimentos | Integrado
Técnico em Alimentos | Subsequente
Técnico em Cervejaria - EaD | Subsequente
Técnico em Comunicação Visual (nova nomenclatura a partir de 2023: Design Gráfico) | Integrado
Técnico em Desenvolvimento de Sistemas - EaD | Subsequente
Técnico em Edificações | Integrado
Técnico em Eletroeletrônica | Integrado
Técnico em Eletrotécnica | Subsequente
Técnico em Enfermagem | Subsequente
Técnico em Fruticultura - EaD | Subsequente
Técnico em Geoprocessamento | Subsequente
Técnico em Informática - EaD | Subsequente
Técnico em Informática - Presencial | Integrado
Técnico em Informática para Internet - EaD | Subsequente
Técnico em Informática | Integrado
Técnico em Logística - EaD | Concomitante
Técnico em Logística - EaD | Subsequente
Técnico em Meio Ambiente - EaD | Subsequente
Técnico em Meio Ambiente | Integrado
Técnico em Produção de Moda | Integrado
Técnico em Química | Integrado
Técnico em Química | Subsequente
Técnico em Recursos Humanos - EaD | Subsequente
Técnico em Segurança do Trabalho | Subsequente
Técnico em Serviços Públicos - EaD | Subsequente
Vendas - EaD | Subsequente
