Perfil,Unidade,Serie,Curso,Questão 1. Sei iniciar os procedimentos administrativos,Questão 1. Sei acompanhar os procedimentos administrativos,Questão 1. Sei obter informações para realizar os procedimentos administrativos,Questão 1.As informações são de simples localização,Questão 1. As informações são de simples compreensão,Questão 1. O pedido de esclarecimentos sobre os procedimentos administrativos é respondido de forma satisfatória (clara e rápida).,Questão 2. Você tem conhecimento sobre como é a jornada de trabalho dos Docentes e/ou dos Técnicos Administrativos em Educação?,Questão 3. Os horários de funcionamento dos setores são amplamente divulgados e de fácil acesso.,Questão 3. O horário de atendimento dos docentes é amplamente divulgado e de fácil acesso.,Questão 3. O horário de atendimento dos técnicos administrativos é amplamente divulgado e de fácil acesso,Questão 3. Considero que a flexibilização de 30 horas é benéfica ao desenvolvimento de atividades na instituição.,Questão 3. Considero que a normativa docente é benéfica ao desenvolvimento de atividades na instituição,Questão 4. Você conhece o organograma administrativo do IFSULDEMINAS da sua unidade?,Questão 5.Conheço as instâncias consultivas,Questão 5. Conheço as instâncias deliberativas?,Questão 6.  Você já participou de alguma consulta ou eleição? ,Questão 8. Como você avalia a facilidade de acesso,Questão 8. Como você avalia a segurança no Campus,Questão 9.  Como você avalia os serviços de segurança no campus?,Questão 10. Como você avalia o serviço prestado pela biblioteca,Questão 10. Como você avalia a quantidade de livros básicos e periódicos recomendados nas unidades curriculares,"Questão 10. Como você avalia a biblioteca quanto ao acesso a computadores, internet e bases de dados disponíveis",Questão 11.  Como você avalia o ambiente para as aulas quanto à adequação ao número de estudantes,Questão 11.  Como você avalia o ambiente para as aulas quanto à acústica,Questão 11.  Como você avalia o ambiente para as aulas quanto à luminosidade,Questão 11.  Como você avalia o ambiente para as aulas quanto à ventilação,Questão 12.  Como você avalia a manutenção/conservação das instalações físicas do seu campus?,Questão 13. Como você avalia o número de equipamentos nos laboratórios de informática?,Questão 14. Como você avalia o número de recursos multimídias?,Questão 15. Como você avalia a adequação dos laboratórios de ensino em relação ao número de alunos?,16. Como você avalia a quantidade de material disponibilizado para as atividades de laboratório ?,Questão 17. As instalações da cantina são adequadas?,Questão 17. Os serviços prestados na cantina são adequados?,Questão17. A diversidade de produtos na cantina,Questão17. A qualidade dos produtos na cantina,Questão 17. As instalações sanitárias e higiene da cantina,Questão18. Como você avalia o espaço físico do campus em relação às necessidades da comunidade acadêmica?,Questão 19. Como você avalia as instalações do campus em relação ao atendimento das pessoas com necessidades específicas?,Questão 20. Como você avalia os serviços de limpeza no campus?,Questão 21. Você já participou de outras avaliações da CPA?,Questão 22. Você já acessou os resultados de outras avaliações da CPA?,Questão 23. Como você considera a divulgação dos resultados deste processo avaliativo?,Questão 24. Há interesse em conhecer o resultado deste processo avaliativo?,Questão 25. Você consegue perceber que os resultados da autoavaliação institucional são utilizados na revisão do planejamento e das ações do IFSULDEMINAS?,Questão 25. Você consegue perceber que foram atendidos os pedidos e sugestões feitos nos questionários das semanas de autoavaliações anteriores?,Questão 26. Como você avalia o programa de assistência à saúde.,Questão 26. Como você avalia o programa de apoio às pessoas com necessidades educacionais específicas,Questão 26. Como você avalia o programa de auxílio estudantil.,"Questão 26. Como você avalia o programa de auxílio à participação em eventos acadêmicos, científicos e tecnológicos.",Questão 26. Como você avalia o programa de mobilidade estudantil nacional e internacional.,Questão 26. Como você avalia o programa de acompanhamento psicológico.,Questão 26. Como você avalia o programa de acompanhamento pedagógico.,Questão 26. Como você avalia o programa de acompanhamento de serviço social,"Questão 26. Como você avalia o programa de incentivo ao esporte, ao lazer e a cultura","Questão 26. Como você avalia a organização de grêmios estudantis, centros acadêmicos e diretórios acadêmicos",Questão 26. Como você avalia a divulgação dos programas de atendimento aos discentes,Questão 27. Como você avalia a compatibilidade entre cursos oferecidos e os recursos disponíveis para cada curso?,Questão 28. Você considera que os recursos financeiros destinados ao IFSULDEMINAS para o desenvolvimento de suas atividades são  suficientes e completos?,Questão 29. Como você avalia a eficiência e eficácia com que os recursos financeiros do IFSULDEMINAS são aplicados?
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,Discordo,Concordo,"Não concordo, nem discordo",Discordo,Discordo plenamente,"Não concordo, nem discordo",Não,Discordo,Não concordo nem discordo,Discordo,Não concordo nem discordo,Não concordo nem discordo,Não,Não,Não,Sim,Regular,Regular,Regulares,Bom/Boa,Bom/Boa,Regular,Muito Bom/Boa,Regular,Bom/Boa,Regular,Muito ruim,Bom,Bom,Boa,Boa,Regulares,Regulares,Ruins,Regulares,Regulares,Ruim,Ruins,Regulares,Sim,Não,Ineficiente,Sim,Imperceptível,Perceptível,Ruim,Regular,Regular,Ruim,Regular,Ruim,Regular,Regular,Ruim,Regular,Regular,Regular,Ruins,Ruins
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Concordo,"Não concordo, nem discordo","Não concordo, nem discordo",Concordo,"Não concordo, nem discordo",Parcialmente,Discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Concordo,Não,Não,Não,Sim,Regular,Ruim,Ruins,Bom/Boa,Bom/Boa,Regular,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Regular,Bom,Regular,Regular,Regular,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Regulares,Ruim,Ruins,Regulares,Sim,Não,Nem eficiente e nem ineficiente,Sim,Não é perceptível nem imperceptível,Perceptível,Bom,Ruim,Regular,Regular,Bom,Regular,Bom,Regular,Regular,Regular,Regular,Regular,Regulares,Regulares
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,Discordo plenamente,Discordo,"Não concordo, nem discordo",Parcialmente,Discordo,Concordo,Não sei responder,Não sei responder,Não sei responder,Não,Não,Não,Sim,Boa,Boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito ruim,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Boa,Bom,Ruim,Boa,Regular,Bons/Boas,Regulares,Regulares,Regulares,Bons/Boas,Regular,Muito ruins,Regulares,Sim,Não,Não sei responder,Sim,Não é perceptível nem imperceptível,Perceptível,Muito ruim,Ruim,Não sei,Bom,Não sei,Regular,Não sei,Não sei,Regular,Não sei,Não sei,Regular,Ruins,Não sei responder
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,Discordo plenamente,Concordo,Concordo,Discordo plenamente,Discordo plenamente,Concordo,Não,Concordo,Não concordo nem discordo,Não concordo nem discordo,Prefiro não responder,Concordo,Não,Não,Não,Não,Muito ruim,Ruim,Ruins,Muito bom/boa,Regular,Muito ruim,Muito Bom/Boa,Regular,Bom/Boa,Ruim,Ruim,Bom,Regular,Regular,Regular,Bons/Boas,Regulares,Muito Bons/Boas,Muito Bons/Boas,Bons/Boas,Regular,Muito ruins,Muito ruins,Sim,Não,Nem eficiente e nem ineficiente,Sim,Imperceptível,Não é perceptível nem imperceptível,Ruim,Ruim,Ruim,Ruim,Regular,Ruim,Bom,Bom,Muito ruim,Muito ruim,Muito ruim,Regular,Muito ruins,Muito ruins
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,Concordo,Concordo,Concordo,"Não concordo, nem discordo",Concordo,Concordo,Parcialmente,Concordo,Concordo,Concordo,Concordo,Concordo,Parcialmente,Prefiro não responder,Prefiro não responder,Prefiro não responder,Boa,Regular,Regulares,Bom/Boa,Bom/Boa,Ruim,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Bom,Regular,Boa,Regular,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Regulares,Bom,Regular,Regulares,Sim,Sim,Eficiente,Não,Perceptível,Perceptível,Bom,Bom,Prefiro não responder,Bom,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Boa,Regulares,Regulares
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo",Discordo,Discordo,"Não concordo, nem discordo",Discordo,"Não concordo, nem discordo",Parcialmente,Não concordo nem discordo,Concordo,Não concordo nem discordo,Concordo,Não concordo nem discordo,Não,Não,Não,Não,Boa,Regular,Regulares,Bom/Boa,Regular,Regular,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Regular,Bom,Regular,Regular,Regular,Bons/Boas,Bons/Boas,Regulares,Regulares,Regulares,Regular,Regular,Bons,Não,Não,Nem eficiente e nem ineficiente,Sim,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Prefiro não responder,Bom,Regular,Regular,Bom,Prefiro não responder,Prefiro não responder,Prefiro não responder,Bom,Prefiro não responder,Bom,Boa,Regulares,Regulares
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo","Não concordo, nem discordo",Discordo,Concordo,"Não concordo, nem discordo","Não concordo, nem discordo",Parcialmente,Discordo,Discordo,Discordo,Discordo,Não concordo nem discordo,Não,Não,Não,Não,Boa,Boa,Regulares,Regular,Bom/Boa,Ruim,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Regular,Bom,Regular,Muito boa,Boa,Muito Bons/Boas,Muito Bons/Boas,Regulares,Bons/Boas,Bons/Boas,Bom,Regular,Ruins,Não,Não,Eficiente,Sim,Perceptível,Perceptível,Bom,Bom,Ruim,Ruim,Ruim,Regular,Regular,Regular,Ruim,Ruim,Regular,Boa,Muito ruins,Ruins
Docente,Muzambinho,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Sim,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Sim,Sim,Sim,Sim,Muito boa,Muito boa,Bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Boa,Bom,Bom,Muito boa,Boa,Muito Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Muito bom,Boas,Bons,Sim,Sim,Totalmente eficiente,Sim,Perceptível,Perceptível,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Boa,Bons,Muito boas
Discente do Técnico,Machado,3°,Técnico em Informática | Integrado,Não sei responder,Não sei responder,Não sei responder,Discordo,Discordo,Discordo,Parcialmente,Não concordo nem discordo,Concordo,Não concordo nem discordo,Concordo,Discordo,Não,Não,Não,Sim,Boa,Regular,Bons,Bom/Boa,Regular,Regular,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Ruim,Boa,Bom,Ruim,Regular,Regular,Regulares,Muito ruins,Muito ruins,Muito ruins,Ruins,Muito bom,Boas,Regulares,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Regular,Bom,Regular,Bom,Bom,Bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Regular,Bons,Boas
Discente do Técnico,Machado,3°  ,Técnico em Informática | Integrado,"Não concordo, nem discordo","Não concordo, nem discordo",Concordo,"Não concordo, nem discordo",Discordo,"Não concordo, nem discordo",Não,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não,Não,Não,Não,Regular,Regular,Regulares,Regular,Bom/Boa,Ruim,Bom/Boa,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Regular,Ruins,Regulares,Sim,Não,Eficiente,Sim,Perceptível,Perceptível,Ruim,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Regular,Ruim,Prefiro não responder,Prefiro não responder,Regulares
TAE,Machado,,,Concordo,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Sim,Concordo plenamente,Concordo,Concordo plenamente,Concordo plenamente,Concordo plenamente,Sim,Sim,Sim,Não,Muito boa,Muito boa,Muito bons,Muito bom/boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Boa,Bom,Bom,Boa,Boa,Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito bom,Boas,Muito bons,Não,Não,Eficiente,Sim,Perceptível,Perceptível,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Boa,Bons,Boas
Discente do Superior,Poços de Caldas,4°,"Mestrado Profissional em Educação, Profissional e Tecnológica (ProfEPT)",Concordo,Concordo,"Não concordo, nem discordo",Discordo,"Não concordo, nem discordo","Não concordo, nem discordo",Parcialmente,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Não,Sim,Sim,Sim,Boa,Boa,Bons,Não sei responder,Não sei responder,Não sei responder,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Boa,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Regular,Bons,Sim,Não,Ineficiente,Sim,Imperceptível,Imperceptível,Bom,Regular,Bom,Bom,Bom,Regular,Regular,Regular,Não sei,Não sei,Não sei,Boa,Regulares,Regulares
Discente do Superior,Inconfidentes,6°,Engenharia Agronômica,"Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo",Discordo plenamente,Discordo plenamente,Discordo plenamente,Não,Discordo,Discordo,Discordo,Concordo,Não concordo nem discordo,Não,Não,Não,Sim,Muito ruim,Ruim,Ruins,Bom/Boa,Bom/Boa,Regular,Regular,Ruim,Regular,Ruim,Muito ruim,Ruim,Ruim,Ruim,Regular,Regulares,Regulares,Ruins,Ruins,Regulares,Ruim,Muito ruins,Bons,Sim,Não,Ineficiente,Sim,Totalmente imperceptível,Não sei responder,Muito ruim,Muito ruim,Ruim,Ruim,Regular,Muito ruim,Muito ruim,Muito ruim,Muito ruim,Regular,Muito ruim,Ruim,Ruins,Regulares
Discente do Superior,Muzambinho,2°,Bacharelado Ciência da Computação,Concordo,Concordo,Concordo,"Não concordo, nem discordo",Concordo,Discordo plenamente,Não,Discordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Discordo,Parcialmente,Não,Não,Sim,Boa,Ruim,Regulares,Bom/Boa,Regular,Muito bom/boa,Bom/Boa,Muito Bom/Boa,Bom/Boa,Bom/Boa,Ruim,Bom,Bom,Boa,Boa,Bons/Boas,Não sei responder,Não sei responder,Não sei responder,Não sei responder,Muito bom,Boas,Regulares,Não,Não,Nem eficiente e nem ineficiente,Sim,Totalmente perceptível,Não sei responder,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Não sei,Muito ruim,Boa,Bons,Boas
Discente do Superior,Machado,4°,Bacharelado Administração,Concordo,Concordo,Concordo,Discordo,"Não concordo, nem discordo",Concordo,Parcialmente,Concordo,Discordo,Concordo plenamente,Concordo plenamente,Discordo,Parcialmente,Sim,Sim,Sim,Boa,Boa,Regulares,Bom/Boa,Muito bom/boa,Muito bom/boa,Regular,Muito Bom/Boa,Muito Bom/Boa,Ruim,Ruim,Bom,Regular,Muito boa,Boa,Muito Bons/Boas,Muito Bons/Boas,Regulares,Bons/Boas,Ruins,Regular,Muito boas,Ruins,Não,Não,Totalmente eficiente,Sim,Totalmente perceptível,Perceptível,Muito bom,Muito bom,Muito bom,Ruim,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Bom,Boa,Regulares,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Não sei responder,Não sei responder,Concordo,Concordo plenamente,Concordo plenamente,Concordo,Não,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Não,Prefiro não responder,Prefiro não responder,Não,Muito boa,Muito boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Muito bom,Muito boa,Regular,Muito Bons/Boas,Muito Bons/Boas,Regulares,Bons/Boas,Bons/Boas,Muito bom,Muito boas,Muito bons,Não,Não,Não sei responder,Prefiro não responder,Totalmente perceptível,Totalmente perceptível,Muito bom,Muito bom,Regular,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito boa,Muito bons,Muito boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,"Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo",Parcialmente,Concordo,Concordo,Concordo,Concordo,Concordo,Parcialmente,Prefiro não responder,Prefiro não responder,Não,Boa,Boa,Bons,Bom/Boa,Bom/Boa,Regular,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Boa,Bom,Bom,Boa,Regular,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Boas,Bons,Não,Não,Não sei responder,Prefiro não responder,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Bom,Regular,Regular,Bom,Regular,Regular,Bom,Bom,Regular,Regular,Regular,Boa,Regulares,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Concordo plenamente,Concordo plenamente,Concordo plenamente,Parcialmente,Concordo,Concordo plenamente,Concordo,Concordo,Concordo plenamente,Não,Não,Não,Não,Boa,Muito boa,Muito bons,Muito bom/boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Bom,Muito boa,Muito boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Muito Bons/Boas,Muito bom,Muito boas,Muito bons,Não,Não,Eficiente,Sim,Totalmente perceptível,Perceptível,Bom,Muito bom,Bom,Muito bom,Muito bom,Bom,Muito bom,Muito bom,Muito bom,Bom,Muito bom,Muito boa,Bons,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo plenamente,Parcialmente,Concordo,Concordo plenamente,Concordo,Concordo plenamente,Concordo,Não,Não,Não,Não,Boa,Muito boa,Muito bons,Muito bom/boa,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Muito bom,Muito boa,Muito boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Muito Bons/Boas,Muito bom,Muito boas,Muito bons,Não,Não,Totalmente eficiente,Sim,Totalmente perceptível,Perceptível,Bom,Muito bom,Bom,Muito bom,Muito bom,Bom,Muito bom,Muito bom,Muito bom,Bom,Muito bom,Boa,Bons,Boas
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,"Não concordo, nem discordo",Discordo,Discordo,Concordo,Parcialmente,Discordo,Concordo plenamente,Discordo plenamente,Não concordo nem discordo,Discordo,Não,Não,Não,Não,Boa,Regular,Bons,Bom/Boa,Bom/Boa,Muito ruim,Bom/Boa,Bom/Boa,Bom/Boa,Bom/Boa,Regular,Regular,Bom,Boa,Boa,Bons/Boas,Regulares,Regulares,Muito ruins,Muito ruins,Bom,Muito boas,Muito bons,Não,Não,Nem eficiente e nem ineficiente,Sim,Perceptível,Não é perceptível nem imperceptível,Regular,Regular,Muito ruim,Regular,Bom,Regular,Muito bom,Bom,Regular,Muito ruim,Regular,Boa,Regulares,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Concordo,Concordo,Concordo,Concordo,"Não concordo, nem discordo",Concordo,Parcialmente,Concordo,Concordo,Concordo,Concordo,Concordo,Parcialmente,Sim,Sim,Não,Boa,Muito boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Bom/Boa,Bom/Boa,Regular,Boa,Bom,Bom,Boa,Boa,Bons/Boas,Bons/Boas,Regulares,Regulares,Regulares,Bom,Boas,Muito bons,Não,Não,Eficiente,Sim,Perceptível,Não é perceptível nem imperceptível,Bom,Bom,Regular,Regular,Bom,Bom,Bom,Bom,Bom,Regular,Bom,Boa,Ruins,Regulares
Discente do Técnico,Carmo de Minas,1°,Técnico em Alimentos | Integrado,Discordo,Discordo,Discordo,Discordo plenamente,Discordo plenamente,Discordo,Não,Não concordo nem discordo,Discordo,Discordo,Concordo,Concordo,Não,Não,Não,Não,Boa,Regular,Bons,Regular,Regular,Regular,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Bom/Boa,Regular,Regular,Regular,Regular,Boa,Bons/Boas,Regulares,Regulares,Ruins,Bons/Boas,Regular,Boas,Bons,Não,Não,Não sei responder,Não,Não é perceptível nem imperceptível,Imperceptível,Regular,Regular,Ruim,Ruim,Ruim,Ruim,Regular,Regular,Regular,Regular,Regular,Boa,Regulares,Regulares
Discente do Técnico,Carmo de Minas,1°,Técnico em Alimentos | Integrado,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Não,Concordo,Concordo,Discordo,Concordo,Concordo,Não,Não,Não,Não,Boa,Boa,Bons,Bom/Boa,Bom/Boa,Bom/Boa,Muito Bom/Boa,Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Boa,Bom,Bom,Boa,Boa,Muito Bons/Boas,Muito Bons/Boas,Regulares,Bons/Boas,Regulares,Bom,Boas,Muito bons,Não,Não,Nem eficiente e nem ineficiente,Sim,Imperceptível,Imperceptível,Bom,Muito bom,Regular,Regular,Regular,Regular,Bom,Regular,Bom,Bom,Bom,Regular,Regulares,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Não,Concordo,Concordo,Não sei responder,Concordo,Concordo,Não,Não,Não,Não,Muito boa,Muito boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Boa,Muito bom,Bom,Muito boa,Muito boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Boas,Bons,Não,Não,Nem eficiente e nem ineficiente,Sim,Imperceptível,Imperceptível,Muito bom,Muito bom,Regular,Regular,Regular,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Regular,Regulares,Regulares
TAE,Reitoria,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo,Concordo,Concordo,Sim,Concordo,Concordo,Concordo,Concordo,Discordo,Sim,Sim,Sim,Sim,Muito boa,Muito boa,Muito bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Muito bom,Muito boa,Muito boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Muito bom,Muito boas,Muito bons,Sim,Sim,Eficiente,Sim,Não é perceptível nem imperceptível,Não é perceptível nem imperceptível,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Boa,Bons,Boas
Discente do Técnico,Carmo de Minas,1°,Técnico em Alimentos | Integrado,"Não concordo, nem discordo","Não concordo, nem discordo",Concordo,"Não concordo, nem discordo",Concordo,Concordo,Parcialmente,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Não,Sim,Não,Não,Muito boa,Boa,Bons,Muito bom/boa,Muito bom/boa,Muito bom/boa,Bom/Boa,Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Muito boa,Muito bom,Regular,Boa,Boa,Muito Bons/Boas,Regulares,Regulares,Muito Bons/Boas,Muito Bons/Boas,Muito bom,Boas,Muito bons,Sim,Sim,Nem eficiente e nem ineficiente,Sim,Totalmente perceptível,Totalmente perceptível,Não sei,Regular,Regular,Bom,Não sei,Ruim,Bom,Bom,Não sei,Não sei,Bom,Boa,Regulares,Regulares
Discente do Técnico,Carmo de Minas,1°,Técnico em Alimentos | Integrado,"Não concordo, nem discordo",Concordo,"Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo","Não concordo, nem discordo",Não,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Não concordo nem discordo,Parcialmente,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Muito bom/boa,Muito bom/boa,Muito bom/boa,Muito Bom/Boa,Muito Bom/Boa,Muito Bom/Boa,Bom/Boa,Boa,Muito bom,Bom,Regular,Muito boa,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bons/Boas,Bom,Regular,Bons,Prefiro não responder,Prefiro não responder,Eficiente,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Prefiro não responder,Boa,Regulares,Prefiro não responder
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Discordo,"Não concordo, nem discordo",Discordo,Discordo,"Não concordo, nem discordo",Concordo,Parcialmente,Concordo,Concordo,Não concordo nem discordo,Não concordo nem discordo,Concordo,Parcialmente,Não,Não,Não,Muito boa,Regular,Ruins,Bom/Boa,Regular,Bom/Boa,Muito Bom/Boa,Regular,Bom/Boa,Bom/Boa,Boa,Bom,Bom,Regular,Ruim,Regulares,Ruins,Regulares,Regulares,Regulares,Regular,Regular,Bons,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Não sei,Bom,Prefiro não responder,Ruim,Não sei,Não sei,Bom,Prefiro não responder,Regular,Regular,Bom,Ruim,Ruins,Regulares
Docente,Passos,,,Concordo plenamente,Concordo plenamente,Concordo plenamente,Concordo,Concordo plenamente,Concordo plenamente,Sim,Concordo,Concordo,Concordo,Discordo,Discordo plenamente,Sim,Sim,Sim,Sim,Muito boa,Muito boa,Muito bons,Muito bom/boa,Regular,Bom/Boa,Regular,Bom/Boa,Bom/Boa,Regular,Boa,Muito ruim,Ruim,Muito ruim,Ruim,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Muito Bons/Boas,Bom,Muito boas,Muito bons,Sim,Sim,Eficiente,Sim,Não é perceptível nem imperceptível,Não sei responder,Muito bom,Regular,Bom,Bom,Muito bom,Muito bom,Muito bom,Muito bom,Muito bom,Regular,Bom,Não sei responder,Regulares,Regulares
Discente do Técnico,Carmo de Minas,1°  ,Técnico em Alimentos | Integrado,Discordo,Discordo,Discordo,Discordo,Concordo,Discordo,Não,Discordo,Concordo,Discordo,Não sei responder,Não sei responder,Não,Não,Não,Não,Muito boa,Regular,Ruins,Bom/Boa,Bom/Boa,Bom/Boa,Muito Bom/Boa,Regular,Bom/Boa,Bom/Boa,Boa,Bom,Bom,Regular,Ruim,Regulares,Ruins,Regulares,Regulares,Regulares,Regular,Regular,Bons,Não,Não,Não sei responder,Sim,Não sei responder,Não sei responder,Não sei,Bom,Ruim,Ruim,Não sei,Não sei,Bom,Não sei,Regular,Regular,Bom,Ruim,Ruins,Ruins
